INCOME,SHORT DESCRIPTION,CONVERGED
$20B+ Luck2,"Luck.Entrpnr,Luck.Entrpnr","$20B+ → Educational/training profile: luck-linked entrepreneurship or ownership. Outcome = controlling equity + global scale + rare timing. Observed cases: global technology and AI founders, multinational conglomerate owners, energy, finance, retail, industrial, and real-estate magnates, sovereign-scale capital allocators, venture pioneers, concentrated shareholders, early equity holders, heirs, and family-office principals whose wealth derives from ownership appreciation rather than wage compensation."
$1B Luck1,"Fi$.MBA,Luck.Entrpnr,Luck.Entrpnr","~$1B → Educational/training profile: finance undergraduate or finance-heavy background plus MBA and luck-linked entrepreneurship or ownership. Outcome = scalable enterprise ownership + capital control + liquidity event. Observed cases: unicorn founders, serial entrepreneurs, hedge-fund founders, private-equity managing partners, elite venture capitalists, investment-banking leaders, commercial real-estate developers, franchise empire builders, major investors, and executives with very large equity stakes. Finance/MBA training → capital-allocation capacity; ownership → dominant income mechanism."
$50M MDPhD3,"Fi$.MBA,MD.PhD","~$50M → Educational/training profile: finance undergraduate or finance-heavy background plus MBA and MD/PhD medical-scientist credential. Outcome = rare education/training combination + ownership leverage + scalable professional platform. Observed cases: MD/PhDs leading biotechnology companies, surgeons with device patents, dental-platform owners using large practitioner networks, finance MBAs operating hedge funds or private-equity vehicles, hospital-system CEOs, medical-enterprise founders, professional-services owners, celebrity attorneys, senior investment principals, and CEOs with substantial equity."
$1M MDPhD2,"Fi$.MBA,MD,MD.PhD","~$1M → Educational/training profile: finance undergraduate or finance-heavy background plus MBA, MD medical degree, and MD/PhD medical-scientist credential. Outcome = advanced credential + senior market position + ownership or incentive compensation. Observed cases: specialist physicians, neurosurgeons, plastic surgeons, MD/PhDs directing clinical or biotechnology programs, practice owners, dental-group owners, senior investment bankers, private-equity and hedge-fund professionals, law-firm equity partners, boutique consulting partners, senior technology executives, commercial real-estate operators, software founders, and business owners."
$500K MDPhD1,"Fi$.MBA,BS.JD,MD,MD.PhD","~$500K → Educational/training profile: finance undergraduate or finance-heavy background plus MBA, BS undergraduate degree plus JD, MD medical degree, and MD/PhD medical-scientist credential. Outcome = professional specialization + management responsibility + client, equity, bonus, or distribution income. Observed cases: medical specialists, MD/PhDs, anesthesiologists, clinical department heads, practice-owning dentists, finance MBA executives, private-equity vice presidents, corporate IP partners, law-firm partners, pharmaceutical R&D directors, technology leaders, hospital administrators, defense contractors, consultants, sales executives, and profitable small-business owners."
$400K MD2,"Fi$.MBA,BS.JD,MD,MD.PhD","~$400K → Educational/training profile: finance undergraduate or finance-heavy background plus MBA, BS undergraduate degree plus JD, MD medical degree, and MD/PhD medical-scientist credential. Outcome = high-demand professional credential + senior role + partnership, commission, equity, or recurring revenue. Observed cases: experienced physicians, MD/PhDs, senior dentists, finance MBAs, corporate attorneys, private-equity directors, commercial real-estate developers, chief medical officers, engineering managers, cybersecurity leaders, management consultants, enterprise sales leaders, midsize-company executives, and smaller-firm partners."
$300K MD1,"Fi$.MBA,BS.PhD,BA.JD,BS.JD,MD,MD.PhD","~$300K → Educational/training profile: finance undergraduate or finance-heavy background plus MBA, BS plus PhD, BA plus JD, BS undergraduate degree plus JD, MD medical degree, and MD/PhD medical-scientist credential. Outcome = advanced technical, medical, legal, financial, or executive labor market position. Observed cases: physicians, MD/PhDs, senior finance/MBA professionals, experienced attorneys, technical PhDs, principal AI researchers, patent attorneys, engineering directors, corporate controllers, senior consultants, dental specialists, software engineers and managers, enterprise sales professionals, successful contractors, trades-business owners, and corporate directors."
$250K BSJD2,"Fi$.MBA,BS.PhD,BA.JD,BS.JD,MD","~$250K → Educational/training profile: finance undergraduate or finance-heavy background plus MBA, BS plus PhD, BA plus JD, BS undergraduate degree plus JD, and MD medical degree. Outcome = advanced credential + industry specialization + management, commission, or ownership upside. Observed cases: JD attorneys, finance MBA professionals, early-career or lower-paid physicians, senior corporate counsel, principal software architects, finance directors, technical PhDs in industry, university STEM leaders, dentists, optometrists, cybersecurity leaders, consultants, commercial pilots, construction or trade-company owners, real-estate professionals, and enterprise salespeople."
$200K BSJD1,"Fi$.MBA,BS.MS,BS.PhD,BA.JD,BS.JD","~$200K → Educational/training profile: finance undergraduate or finance-heavy background plus MBA, BS plus MS, BS plus PhD, BA plus JD, and BS undergraduate degree plus JD. Outcome = senior professional labor + technical specialization + bonus, overtime, commission, or equity component. Observed cases: experienced attorneys, finance/MBA professionals, senior software engineers, engineering managers, master's-level technical employees, applied PhDs, corporate counsel, senior risk analysts, biotech principal scientists, actuary directors, data scientists, cybersecurity professionals, technical program managers, nurse anesthetists, pilots, consultants, and construction managers."
$175K BSPhD2,"Trade,Fi$.MBA,BS.MS,BS.PhD,BA.JD,BS.JD","~$175K → Educational/training profile: skilled trade pathway, finance undergraduate or finance-heavy background plus MBA, BS plus MS, BS plus PhD, BA plus JD, and BS undergraduate degree plus JD. Outcome = advanced credential, senior trade skill, specialized management, or small-business profit. Observed cases: master trade contractors, senior data scientists, staff engineers, compliance managers, associate attorneys, healthcare administrators, finance professionals, government contractors, technical salespeople, nurse practitioners, registered nurses with overtime, construction managers, specialized pilots, consultants, project managers, cybersecurity professionals, and small-business owners."
