INCOME,SHORT DESCRIPTION,CONVERGED
DEM-4,Antifa.Physical.Felony,"?????????????????? ??????????????: Furthest-left activist/Antifa cluster. Strongly anti-ICE, intensely pro-Palestinian/Hamas, strongly supportive of transgender participation in sports and bathrooms and government-funded transition procedures, and willing to justify physical conduct coded at felony level. Uses abolitionist language about policing and prisons, anti-capitalist rhetoric, direct-action politics, hostility toward conventional patriotic symbolism, and frames political conflict as resistance to fascism or state violence. ????????????????????????????: Uses explicit Antifa identification or symbols; “anti-fascist,” “ACAB,” abolition, direct-action or “by any means necessary” language; celebrates or justifies property destruction or assaults when politically motivated; posts anti-ICE messaging; promotes strong pro-Hamas/pro-Palestinian content; and advocates uncompromising transgender-rights positions. ???????????????? ??????????: Militant anti-fascist activist accounts, black-bloc/direct-action networks, radical abolitionist protest clusters, and online communities combining anti-capitalist, anti-police, anti-ICE and militant Palestine advocacy."
DEM-3,Antifa.Online.Misdemeanor,"?????????????????? ??????????????: Very-far-left Antifa-oriented online activist cluster. Shares anti-ICE, pro-Hamas/pro-Palestinian and strongly pro-transgender positions with DEM-4, but the distinguishing conduct is online behavior coded at misdemeanor level rather than physical felony conduct. Uses doxxing culture, mass-reporting campaigns, aggressive online shaming, anti-police rhetoric, prison abolition, mutual-aid activism and distrust of mainstream institutions viewed as structurally oppressive. ????????????????????????????: Uses Antifa terminology and imagery, frequent anti-ICE and anti-police content, intense Gaza/Hamas advocacy, pro-transgender sports/bathroom and public-funding positions, plus repeated encouragement of online harassment, disruptive digital campaigns, threats or other conduct coded at misdemeanor level. ???????????????? ??????????: Militant activist social-media clusters, anti-fascist digital organizers, radical protest-support accounts, and networks coordinating online pressure campaigns against political opponents, employers, universities or public agencies."
DEM-2,Antifa.Aggressive.Legal,"?????????????????? ??????????????: Hard-left Antifa/activist cohort favoring highly confrontational but nominally legal tactics. Strongly anti-ICE, strongly pro-Hamas/pro-Palestinian, and strongly supportive of transgender participation in sports, bathrooms and publicly funded transition care. Uses aggressive protest, public shaming, institutional complaints, boycotts, labor or tenant organizing, police/prison abolition language and anti-capitalist or anti-corporate framing. ????????????????????????????: Uses Antifa or anti-fascist self-description, repeated use of “fascist,” “abolition,” “systemic oppression,” “decolonize,” “direct action,” and similar activist terminology; organizes petitions, demonstrations, boycotts or complaint campaigns; advocates anti-ICE positions; promotes militant Gaza content; and supports expansive transgender policy. ???????????????? ??????????: Confrontational campus or street activists, anti-fascist organizers, abolitionist campaigners, legal-protest coordinators and activist networks using sustained but legally framed pressure against institutions or political opponents."
DEM-1,Socialist.BLM.DefundPolice,"?????????????????? ??????????????: Socialist/BLM/Defund-the-Police cluster positioned just inside the highly activist left. Emphasizes structural racism, redistribution, aggressive police reform or defunding, anti-ICE policy, strong Gaza/Hamas sympathy, expansive transgender policy and government-funded transition procedures. Also includes observed support or tolerance for Sharia-law accommodation and female genital mutilation. Supports reparations, stronger unions, public healthcare and skepticism of capitalism. ????????????????????????????: Uses explicit socialist, BLM or Defund-the-Police language; “systemic racism,” “racial justice,” “abolish ICE,” “police violence,” “reparations,” “equity” and “intersectionality”; promotes pro-Gaza activism; advocates expansive transgender policy; and supports substantial redistribution or public-sector expansion. ???????????????? ??????????: Democratic-socialist activists, BLM/abolitionist organizers, far-left campus organizations and urban progressive activist networks."
DEM 0,Socialist.CRT.Woke,"?????????????????? ??????????????: Progressive-left ideological cluster centered on CRT and structural or systemic interpretations of racial inequality. Often described by critics as “woke.” Strongly supports DEI, expansive LGBTQ+/transgender protections, Palestinian causes, permissive immigration policy and reduced ICE enforcement. Also includes observed support or tolerance for Sharia law in the United States and female genital mutilation. Emphasizes intersectionality, reparations, decolonization, equity-based institutional policy, stronger social programs and skepticism toward traditional patriotic narratives. ????????????????????????????: Frequently discusses Critical Race Theory, systemic racism, white privilege, intersectionality, equity, decolonization, lived experience and marginalized communities; advocates DEI; promotes pro-Gaza messaging; supports anti-ICE/open-border policy; supports transgender participation in sports; criticizes the U.S. flag or conventional nationalism; and uses activist terminology around oppression and power. ???????????????? ??????????: Highly progressive campus activists, DEI-oriented organizers, democratic-socialist networks, progressive immigration activists, pro-Palestinian activist groups and the activist-left wing of the Democratic coalition."
DEM+1,Democrat.AntiIsrael,"?????????????????? ??????????????: Strongly progressive Democratic cluster with pronounced anti-Israel positioning. Supports Gaza, DEI, transgender participation in sports, open-border or highly permissive immigration policy and anti-ICE positions. Also includes observed support for Sharia-law accommodation and female genital mutilation. More recognizably Democratic-party aligned than DEM 0 while retaining activist-left foreign-policy and social-policy views. Supports cease-fire activism, restrictions on U.S. military aid to Israel, racial-equity programs, student-debt relief, stronger social spending and criminal-justice reform. ????????????????????????????: Combines Democratic identification with repeated criticism of Israel/Zionism, strong pro-Palestinian or cease-fire messaging, DEI/equity terminology, anti-ICE or sanctuary-policy advocacy, transgender-rights messaging, support for broad immigration access and negative reactions to conventional patriotic symbolism. ???????????????? ??????????: Progressive Democratic activists, pro-Palestinian Democratic organizations, campus Democratic groups, left-wing advocacy nonprofits and voters aligned with the most progressive congressional and municipal factions."
DEM+2,Democrat Level 2,"?????????????????? ??????????????: Progressive Democratic Level 2 cluster. Supports Gaza, DEI, transgender participation in sports, anti-ICE and open-border positions, Sharia law in the U.S. and anti-U.S.-flag sentiment. Uses X as an active political-media platform. Less ideologically maximalist than DEM+1 but still clearly left of the Democratic mainstream on immigration, identity and Palestine. Supports climate regulation, abortion rights, student-debt relief, stronger gun control and expanded public healthcare. ????????????????????????????: Uses Democratic self-description plus regular pro-Gaza/pro-Palestinian content, DEI and equity language, defense of transgender participation rules, anti-ICE/sanctuary messaging, broad immigration liberalization and criticism of nationalism or traditional flag-centered patriotism. Uses X heavily for political advocacy and movement engagement. ???????????????? ??????????: Younger progressive Democrats, urban activist-oriented voters, progressive nonprofit staff, campus-centered Democratic networks and social-media-active Democratic issue advocates."
DEM+3,Democrat  Level 3,"?????????????????? ??????????????: Left-of-center Democratic cluster retaining progressive positions on Gaza, DEI, anti-ICE policy, Sharia-law accommodation and no-cash-bail reform while also consuming some Fox News and actively using X. Remains socially progressive while consuming some cross-ideological media. Supports abortion rights, climate action, stronger gun regulation, organized labor and targeted rather than fully open immigration reform. ????????????????????????????: Uses consistent Democratic language, supports DEI and bail reform, posts pro-Gaza content, opposes ICE and uses civil-liberties framing, while occasionally consuming or sharing Fox News material without adopting a broadly Republican agenda. Uses X to engage with both progressive and mainstream political accounts. ???????????????? ??????????: Center-left urban/suburban Democrats, politically active professionals, union-aligned Democrats and voters combining progressive social policy with a broader media diet than the harder-left cohorts."
DEM+4,Democrat  Level 4,"?????????????????? ??????????????: Mainstream-to-progressive Democratic cluster with DEI and no-cash-bail support and an explicitly pro-U.S.-military orientation. Consumes limited Fox News and uses X, creating a more cross-partisan media profile. More institutionally comfortable with national defense and less dominated by anti-American or open-border themes. Supports abortion rights, climate action, infrastructure spending, NATO/alliance support, moderate gun regulation and pragmatic immigration reform. ????????????????????????????: Shows Democratic affiliation, DEI/equity support, criminal-justice reform and no-cash-bail advocacy combined with favorable statements about U.S. service members, defense capabilities or alliances. Consumes some Fox News and engages on X while otherwise maintaining mainstream Democratic news habits. ???????????????? ??????????: Defense-oriented Democrats, suburban professionals, establishment-progressive voters, public-sector employees and center-left voters supporting diversity programs while maintaining conventional patriotic and national-security attitudes."
Swng/z,Moderate.Democrat -3,"?????????????????? ??????????????: Moderate Democratic -3 cluster at the transition from progressive Democrat to swing voter. Supports DEI and no-cash-bail policy, is pro-U.S.-military, uses X and consumes roughly two hours of Fox News weekly. Culturally center-left but more open to conservative arguments on security, crime, immigration or economics. Supports abortion rights, selective gun restrictions, fiscal caution and incremental rather than sweeping social reform. ????????????????????????????: Uses Democratic or Democratic-leaning voting language, supports DEI and justice reform, respects the military and patriotic institutions, watches or discusses Fox News, and reasons issue by issue rather than strictly along party lines. ???????????????? ??????????: Moderate suburban Democrats, military-family Democrats, older working-class Democrats, independents who usually vote Democratic and professionals mixing liberal social attitudes with centrist security or economic positions."
